# control-sequence	role	source-binding
# Mined from LaTeXML 0.8.8 bindings (/usr/share/perl5/LaTeXML/Package)
# DefMath role=>/meaning=> declarations. Use: R14 lexeme classes +
# classification step 3 (standard math vocabulary with semantic roles).
ngtr	RELOP	amssymb.sty
ngtrapprox	RELOP	txfonts.sty
ngtrless	RELOP	txfonts.sty
ngtrsim	RELOP	txfonts.sty
ni	RELOP	TeX.pool
niplus	RELOP	stmaryrd.sty
nleftarrow	ARROW	amssymb.sty
nleftrightarrow	ARROW	amssymb.sty
nleq	RELOP	amssymb.sty
nleqq	RELOP	amssymb.sty
nleqslant	RELOP	amssymb.sty
nless	RELOP	amssymb.sty
nlessapprox	RELOP	txfonts.sty
nlessgtr	RELOP	txfonts.sty
nlesssim	RELOP	txfonts.sty
nll	RELOP	txfonts.sty
nmid	RELOP	amssymb.sty
nnearrow	ARROW	stmaryrd.sty
nnwarrow	ARROW	stmaryrd.sty
not	OPFUNCTION	TeX.pool
notasymp	RELOP	mathabx.sty
notbot	ADDOP	mathabx.sty
notdivides	RELOP	mathabx.sty
notin	RELOP	txfonts.sty
notni	RELOP	txfonts.sty
notowner	RELOP	mathabx.sty
notowns	RELOP	txfonts.sty
notperp	RELOP	mathabx.sty
notsign	OPERATOR	mathabx.sty
nottop	ADDOP	mathabx.sty
nparallel	RELOP	amssymb.sty
nplus	ADDOP	stmaryrd.sty
nprec	RELOP	amssymb.sty
nprecapprox	RELOP	txfonts.sty
npreccurlyeq	RELOP	txfonts.sty
npreceq	RELOP	amssymb.sty
npreceqq	RELOP	txfonts.sty
nprecsim	RELOP	txfonts.sty
nrightarrow	ARROW	amssymb.sty
nshortmid	RELOP	amssymb.sty
nshortparallel	RELOP	amssymb.sty
nsim	RELOP	amssymb.sty
nsimeq	RELOP	txfonts.sty
nsqsubset	RELOP	txfonts.sty
nsqsubseteq	RELOP	txfonts.sty
nsqsubseteqq	RELOP	mathabx.sty
nsqsupset	RELOP	txfonts.sty
nsqsupseteq	RELOP	txfonts.sty
nsqsupseteqq	RELOP	mathabx.sty
nsubset	RELOP	txfonts.sty
nsubseteq	RELOP	amssymb.sty
nsubseteqq	RELOP	txfonts.sty
nsucc	RELOP	amssymb.sty
nsuccapprox	RELOP	txfonts.sty
nsucccurlyeq	RELOP	txfonts.sty
nsucceq	RELOP	amssymb.sty
nsucceqq	RELOP	txfonts.sty
nsuccsim	RELOP	txfonts.sty
nsupset	RELOP	txfonts.sty
nsupseteq	RELOP	amssymb.sty
nsupseteqq	RELOP	amssymb.sty
nthickapprox	RELOP	txfonts.sty
ntriangleleft	RELOP	amssymb.sty
ntrianglelefteq	RELOP	amssymb.sty
ntrianglelefteqslant	RELOP	stmaryrd.sty
ntriangleright	RELOP	amssymb.sty
ntrianglerighteq	RELOP	amssymb.sty
ntrianglerighteqslant	RELOP	stmaryrd.sty
ntwoheadleftarrow	RELOP	txfonts.sty
ntwoheadrightarrow	RELOP	txfonts.sty
nuparrow	ARROW	mathtools.sty
nvDash	RELOP	amssymb.sty
nvdash	RELOP	amssymb.sty
nvparallel	RELOP	txfonts.sty
nvparallelinv	RELOP	txfonts.sty
nwarrow	ARROW	TeX.pool
oasterisk	MULOP	mathabx.sty
obar	RELOP	stmaryrd.sty
oblong	RELOP	stmaryrd.sty
obslash	RELOP	stmaryrd.sty
odiv	ADDOP	mathabx.sty
odot	MULOP	TeX.pool
ogreaterthan	RELOP	stmaryrd.sty
oiiint	INTOP	txfonts.sty
oiiintclockwise	INTOP	txfonts.sty
oiiintclockwiseop	INTOP	txfonts.sty
oiiintctrclockwise	INTOP	txfonts.sty
oiiintctrclockwiseop	INTOP	txfonts.sty
oiiintop	INTOP	txfonts.sty
oiint	INTOP	txfonts.sty
oiintclockwise	INTOP	txfonts.sty
oiintclockwiseop	INTOP	txfonts.sty
oiintctrclockwise	INTOP	txfonts.sty
oiintctrclockwiseop	INTOP	txfonts.sty
oiintop	INTOP	txfonts.sty
oint	INTOP	esint.sty
ointclockwise	INTOP	txfonts.sty
ointclockwiseop	INTOP	txfonts.sty
ointctrclockwise	INTOP	txfonts.sty
ointctrclockwiseop	INTOP	txfonts.sty
ointop	INTOP	LaTeX.pool
oleft	ADDOP	mathabx.sty
olessthan	RELOP	stmaryrd.sty
